ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
87,Archi,Pendulum Act III,Expert,Single,16,Crush,174,1921,133,3.06,120,0,0,0,0.9023,1,0,11.61,11.6,120,170,120,12,89,1,292,550,842,26,5000,1000,5842,6842,
88,NAOKI,The Joy of Streaming 2,Expert,Single,16,I'm Not Crazy,180,4312,336,7.47,198,0,0,85,0.5893,0.6828,2.33,9.86,10.42,3 1 17 (2) 7 30 8 25 (35) 4 (40) 7 23 (8) 7 66,180,107.5312787,11,89,1,417,500,917,263,5000,1000,5917,6917,
89,ITGAlex,ITGAlex's Stamina Singles,Expert,Single,16,Cybernecia Catharsis,184,2512,211,4.59,138,0,0,39,0.654,0.7797,3.54,9.98,10.33,73 (8) 15 (31) 50,180,92.67511661,8,89,1,500,350,850,51,5000,1000,5850,6850,
90,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,16,Fly Away,186,2283,162,3.48,134,0,0,24,0.8272,0.8375,5.58,11.13,11.06,80 (24) 7 15 32,180,100.8975227,10,89,1,542,450,992,500,5000,1000,5992,6992,
91,Archi,SHARPNELSTREAMZ v3 Part 2,Expert,Single,16,Heretic Witch,184,2155,141,3.06,133,0,0,0,0.9433,0.9925,0,12.09,12.26,37 96,180,131.4075946,14,89,1,500,650,1150,1000,5000,1000,6150,7150,
92,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,16,Night sky,192,2708,213,4.44,148,0,0,39,0.6948,0.7668,3.79,10.78,11.11,11 19 16 (4) 11 (17) 16 (18) 3 3 15 7 47,190,96.77274989,9,89,1,667,400,1067,738,5000,1000,6067,7067,
93,Zaia,Cirque du Enzo,Expert,Single,16,Salvation,192,2674,236,4.92,130,0,0,70,0.5508,0.6373,1.86,9.14,9.73,2 31 (10) 1 (40) 2 23 10 (11) 1 (7) 31 14 (2) 15,190,63.22569644,7,89,1,667,300,967,421,5000,1000,5967,6967,
94,Okami,BaguetteStreamz 2,Expert,Single,16,Say Hello to HOLLOWood feat. Nene Akagawa,192,2520,219,4.56,127,0,0,67,0.5799,0.6318,1.9,9.42,9.76,2 (2) 3 2 (2) 3 (11) 20 (2) 1 15 2 (2) 3 (9) 20 (2) 1 15 14 (31) 1 (2) 15 2 (2) 3 2 (2) 3,190,60.91596318,6,89,1,667,250,917,263,5000,1000,5917,6917,
95,Zaia,xi preview,Expert,Single,16,Aragami,196,1909,169,3.45,94,0,0,33,0.5562,0.7344,2.85,9.34,11.39,5 (12) 1 (6) 6 10 (15) 72,190,57.36145022,4,89,1,750,150,900,209,5000,1000,5900,6900,
96,Zaia,Helblinde 2016,Expert,Single,16,Heaven's Fall 2016 Rebuild,200,2623,212,4.24,127,0,0,70,0.5991,0.6287,1.81,10.56,10.57,1 2 (2) 2 (3) 2 (12) 1 14 (2) 14 (22) 17 (2) 8 (4) 3 16 (8) 12 (8) 8 (4) 7 7 12 (3) 1,200,60.43844159,5,89,1,834,200,1034,633,5000,1000,6034,7034,
97,Okami,BaguetteStreamz 2.5,Expert,Single,16,BroGamer (Extended Mix),207,1991,175,3.38,93,0,0,36,0.5314,0.6596,2.58,10.22,11.16,1 7 7 3 3 7 (9) 7 6 (2) 4 (11) 1 (6) 1 3 (8) 8 7 7 7 7 7,200,47.78944465,3,89,1,980,100,1080,779,5000,1000,6080,7080,
98,Zaia,Cirque du Enzo,Expert,Single,16,Deus ex Machina,208,1877,153,2.94,87,0,0,41,0.5686,0.6541,2.12,11.07,11.55,2 17 (2) 6 (2) 6 (2) 1 1 1 1 (3) 1 4 (4) 4 (14) 2 (4) 32 (4) 8 (6) 1,200,44.11130347,2,89,1,1000,50,1050,684,5000,1000,6050,7050,
99,Admiral M&Ms,Resistance Device,Expert,Single,16,Liberator feat. blaxervant,200,1655,178,3.56,78,0,0,31,0.4382,0.6903,2.52,8.21,10.1,1 15 15 (15) 1 15 16 (16) 15,200,43.10773457,1,89,1,834,0,834,0,5000,1000,5834,6834,
100,@@,Scrapyard Kent,Expert,Single,17,Space Box,175,9735,694,15.86,575,0,0,88,0.8285,0.8557,6.53,10.38,10.53,14 17 (7) 17 55 (24) 120 (8) 39 31 (17) 23 47 32 (16) 15 15 32 (16) 39 15 64,170,448.1075857,20,110,1,23,950,973,677,6000,1000,6973,7973,
101,Rems,Hospitality,Expert,Single,17,Bio Tunnel Magnetic Transport,179,5743,461,10.3,336,0,0,96,0.7289,0.7636,3.5,9.73,9.73,48 (24) 88 (8) 56 1 1 1 1 (48) 32 (16) 104 1 1 1 1,170,218.2351739,16,110,1,114,750,864,419,6000,1000,6864,7864,
102,Archi,Pendulum Act IV,Expert,Single,17,Toxic Shock (Novice),174,5139,348,8,317,0,0,18,0.9109,0.9463,17.61,11.12,11.12,56 (8) 46 (2) 14 (2) 94 (2) 46 (2) 14 (2) 47,170,290.2053446,19,110,1,0,900,900,504,6000,1000,6900,7900,
103,@@,Scrapyard Kent,Expert,Single,17,Lift Off FB 179,179,4570,324,7.24,279,0,0,4,0.8611,0.9555,69.75,11.07,11.67,7 23 63 16 (4) 12 15 30 47 7 8 51,170,259.4019936,18,110,1,114,850,964,655,6000,1000,6964,7964,
104,ITGAlex,Bass Chasers,Expert,Single,17,Global Down,180,4742,329,7.31,288,0,0,34,0.8754,0.8944,8.47,11.05,11.04,96 (34) 192,180,240.9036347,17,110,1,137,800,937,592,6000,1000,6937,7937,
105,Zaia,Cranked Pastry,Expert,Single,17,Destination Talos,187,4937,349,7.47,270,0,0,50,0.7736,0.8157,5.4,11.35,11.41,31 15 31 (5) 2 1 (4) 7 55 (30) 15 3 12 16 (8) 16 15 31 15 4 (3) 1,180,194.9002983,12,110,1,296,550,846,376,6000,1000,6846,7846,
106,Rems,BaguetteStreamz 2,Expert,Single,17,Signal (Girl's Vocal Mix),180,4253,309,6.87,250,0,0,36,0.8091,0.8621,6.94,10.49,10.79,10 15 23 (24) 8 (12) 3 30 161,180,197.1660976,13,110,1,137,600,737,119,6000,1000,6737,7737,
107,Aoreo,Jimmy Jawns 4,Expert,Single,17,Asereje (Speed Mix),185,3349,216,4.67,208,0,0,2,0.963,0.9858,104,12.18,12.21,14 (2) 70 124,180,203.29441,15,110,1,250,700,950,622,6000,1000,6950,7950,
108,Archi,Big Waves,Expert,Single,17,Denjin K Megamix (Restep),178,14147,1146,26.51,794,0,0,292,0.6928,0.7153,2.72,8.99,9.12,1 (19) 7 7 24 14 4 (59) 9 (4) 32 (8) 96 (16) 72 (14) 54 (3) 48 12 (8) 4 7 3 (4) 4 7 3 (4) 15 12 (8) 4 7 3 (4) 4 7 3 (4) 4 26 (8) 1 (49) 7 8 48 (28) 1 1 3 1 1 47 (2) 7 (3) 15 23 (17) 40 8 (16) 56 (14) 34,190,464.5170534,21,110,1,91,1000,1091,956,6000,1000,7091,8091,
109,Honk,Trails of Cold Stream,Expert,Single,17,I Miss You,190,3868,255,5.37,232,0,0,17,0.9098,0.917,13.65,12.1,12.07,7 63 55 25 47 (17) 35,190,201.9663059,14,110,1,364,650,1014,774,6000,1000,7014,8014,
110,ITGAlex,Noah,Expert,Single,17,Rebirth the end (Part I - Sasanqua),198,3967,332,6.71,219,0,0,78,0.6596,0.7374,2.81,10.59,10.76,32 (11) 17 (3) 4 (6) 48 (23) 19 (4) 17 (31) 82,190,134.5145082,9,110,1,546,400,946,613,6000,1000,6946,7946,
